,N,size,br_hrane_po_stepenu,br_stepena_otrovnosti,agent_memory_size,agent_walk_energy
558,0.6233,0.10065,1.0,0.9786,0.6562,0.0
559,0.59625,0.16374999999999998,0.9995,0.9767,0.6139,0.0
560,0.5486,0.19105000000000003,0.9994,0.9684,0.6166,0.0
561,0.5465,0.1823,0.9995,0.9563,0.58275,0.0
562,0.5353,0.26665,0.9995,0.9421,0.5632,0.0
563,0.4847,0.1953,0.9996,0.929,0.56315,0.0
564,0.5154,0.31135,0.9992,0.9274,0.55345,0.0
565,0.5204,0.36979999999999996,0.9961,0.9207,0.518,0.0
566,0.4939,0.32385,0.9894,0.8901,0.54875,0.0
567,0.5477,0.3756,0.9713,0.8557,0.4864,0.0
568,0.5717,0.3354,0.9553,0.8429,0.47335,0.0
569,0.6117,0.4259,0.9071,0.787,0.53005,0.0
570,0.5523,0.3786,0.8557,0.7505,0.5371,0.0
571,0.5913,0.45604999999999996,0.8031,0.6888,0.4909,0.0
572,0.5513,0.43305,0.7269,0.7042,0.5085,0.0
573,0.493,0.48195,0.6235,0.5979,0.49645,0.0
574,0.5601,0.50765,0.6527,0.5669,0.49565,0.0007
575,0.5982,0.5589999999999999,0.4482,0.4781,0.474,0.9985
576,0.568,0.06874999999999999,1.0,1.0,0.9621,0.0
577,0.4697,0.0002,1.0,1.0,0.8982,0.0
578,0.4525,0.0061,1.0,1.0,0.86595,0.0
579,0.4617,0.02895,1.0,1.0,0.83515,0.0
580,0.51515,0.05015,0.9998,1.0,0.75805,0.0
581,0.5333,0.0658,0.9994,1.0,0.73395,0.0
582,0.5664,0.0896,1.0,1.0,0.7041,0.0
583,0.5282,0.1462,0.9989,1.0,0.6536,0.0
584,0.48464999999999997,0.1688,0.9986,0.9981,0.64915,0.0
585,0.4674,0.16295,0.999,0.991,0.613,0.0
586,0.4619,0.23965,0.9988,0.9799,0.59365,0.0
587,0.4113,0.1716,0.9991,0.964,0.5935,0.0
588,0.427,0.27754999999999996,0.9987,0.9631,0.5892,0.0
589,0.4461,0.3306,0.9904,0.9534,0.54595,0.0
590,0.4091,0.28524999999999995,0.9747,0.918,0.58135,0.0
591,0.4651,0.33135,0.9512,0.8729,0.5139,0.0
592,0.4817,0.29755,0.9321,0.8607,0.4939,0.0
593,0.5161,0.375,0.8881,0.7933,0.55815,0.0
594,0.46425,0.3324,0.8419,0.7564,0.5669,0.0
595,0.5066,0.4017,0.7984,0.6999,0.5201,0.0
596,0.4665,0.38334999999999997,0.74895,0.7165,0.5308999999999999,0.0
597,0.4063,0.4255,0.6661,0.6146,0.51955,0.0
598,0.4513,0.45775,0.6599,0.5769,0.5253,0.0
599,0.4018,0.441,0.5518,0.5219,0.526,0.0015
